region,school,class,json_count
BioBio,Colegio Basico Nueva Los Lobos,7A,0
BioBio,Colegio Basico Nueva Los Lobos,7B,0
BioBio,Colegio Galvarino De Lomas Coloradas,4A,0
BioBio,Colegio Galvarino De Lomas Coloradas,5A,0
BioBio,Colegio Galvarino De Lomas Coloradas,6A,0
BioBio,Colegio Galvarino De Lomas Coloradas,7A,0
BioBio,Colegio Gran Bretaña,4A,0
BioBio,Colegio Gran Bretaña,5A,0
BioBio,Colegio Gran Bretaña,6A,0
BioBio,Colegio Gran Bretaña,7A,0
BioBio,Colegio Marina de Chile,4A,1
BioBio,Colegio Marina de Chile,4B,17
BioBio,Colegio Marina de Chile,5A,0
BioBio,Colegio Marina de Chile,5B,0
BioBio,Colegio Marina de Chile,6A,30
BioBio,Colegio Marina de Chile,6B,0
BioBio,Colegio Marina de Chile,7A,0
BioBio,Colegio Marina de Chile,7B,0
BioBio,Colegio Nuevos Horizontes,4A,0
BioBio,Colegio Nuevos Horizontes,4B,0
BioBio,Colegio Nuevos Horizontes,5A,0
BioBio,Colegio Nuevos Horizontes,5B,0
BioBio,Colegio Nuevos Horizontes,6A,0
BioBio,Colegio Nuevos Horizontes,6B,0
BioBio,Colegio Nuevos Horizontes,7A,0
BioBio,Colegio Nuevos Horizontes,7B,0
BioBio,Colegio Parroquial San Jose,4A,0
BioBio,Colegio Parroquial San Jose,5A,0
BioBio,Colegio Parroquial San Jose,6A,0
BioBio,Colegio Parroquial San Jose,7A,0
BioBio,Colegio Particular Aurora De Chile,4A,0
BioBio,Colegio Particular Aurora De Chile,4B,0
BioBio,Colegio Particular Aurora De Chile,5A,0
BioBio,Colegio Particular Aurora De Chile,5B,0
BioBio,Colegio Particular Aurora De Chile,6A,0
BioBio,Colegio Particular Aurora De Chile,6B,0
BioBio,Colegio Particular Aurora De Chile,7A,0
BioBio,Colegio Particular Aurora De Chile,7B,0
BioBio,Colegio Republica De Grecia,4A,0
BioBio,Colegio Republica De Grecia,5A,0
BioBio,Colegio Republica De Grecia,6A,0
BioBio,Colegio Republica De Grecia,7A,0
BioBio,Colegio Teresa de Los Andes,4A,0
BioBio,Colegio Teresa de Los Andes,5A,0
BioBio,Colegio Teresa de Los Andes,6A,0
BioBio,Colegio Teresa de Los Andes,7A,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,4A,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,4B,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,5A,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,5B,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,6A,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,6B,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,7A,0
BioBio,ESCUELA ADELAIDA MIGUIELES SOTO,7B,0
BioBio,ESCUELA AMBROSIO O´HIGGINS,4A,0
BioBio,ESCUELA AMBROSIO O´HIGGINS,5A,0
BioBio,ESCUELA AMBROSIO O´HIGGINS,6A,0
BioBio,ESCUELA AMBROSIO O´HIGGINS,6B,0
BioBio,ESCUELA AMBROSIO O´HIGGINS,7A,0
BioBio,ESCUELA ARTURO PRAT CHACON,4A,0
BioBio,ESCUELA ARTURO PRAT CHACON,4B,0
BioBio,ESCUELA ARTURO PRAT CHACON,5A,0
BioBio,ESCUELA ARTURO PRAT CHACON,5B,0
BioBio,ESCUELA ARTURO PRAT CHACON,6A,0
BioBio,ESCUELA ARTURO PRAT CHACON,6B,0
BioBio,ESCUELA ARTURO PRAT CHACON,6C,0
BioBio,ESCUELA ARTURO PRAT CHACON,7A,0
BioBio,ESCUELA ARTURO PRAT CHACON,7B,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,4A,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,4B,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,5A,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,5B,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,6A,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,6B,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,7A,0
BioBio,ESCUELA BASICA CERRO SAN FRANCISCO,7B,0
BioBio,ESCUELA BASICA DICHATO,4A,0
BioBio,ESCUELA BASICA DICHATO,4B,0
BioBio,ESCUELA BASICA DICHATO,5A,0
BioBio,ESCUELA BASICA DICHATO,5B,0
BioBio,ESCUELA BASICA DICHATO,6A,0
BioBio,ESCUELA BASICA DICHATO,6B,0
BioBio,ESCUELA BASICA DICHATO,7A,0
BioBio,ESCUELA BASICA DICHATO,7B,0
BioBio,ESCUELA BASICA FORJADORES DE CHILE,4A,0
BioBio,ESCUELA BASICA FORJADORES DE CHILE,5A,0
BioBio,ESCUELA BASICA FORJADORES DE CHILE,6A,0
BioBio,ESCUELA BASICA FORJADORES DE CHILE,7A,0
BioBio,ESCUELA BASICA LUIS ALBERTO ACEVEDO,4A,0
BioBio,ESCUELA BASICA LUIS ALBERTO ACEVEDO,5A,0
BioBio,ESCUELA BASICA LUIS ALBERTO ACEVEDO,6A,0
BioBio,ESCUELA BASICA LUIS ALBERTO ACEVEDO,7A,0
BioBio,ESCUELA BELGICA,4A,14
BioBio,ESCUELA BELGICA,5A,0
BioBio,ESCUELA BELGICA,6A,0
BioBio,ESCUELA BELGICA,7A,0
BioBio,ESCUELA DARIO SALAS MARCHANT,4A,0
BioBio,ESCUELA DARIO SALAS MARCHANT,4B,0
BioBio,ESCUELA DARIO SALAS MARCHANT,5A,0
BioBio,ESCUELA DARIO SALAS MARCHANT,5B,0
BioBio,ESCUELA DARIO SALAS MARCHANT,6A,0
BioBio,ESCUELA DARIO SALAS MARCHANT,6B,0
BioBio,ESCUELA DARIO SALAS MARCHANT,7A,0
BioBio,ESCUELA DARIO SALAS MARCHANT,7B,0
BioBio,ESCUELA GUARILIHUE ALTO,4A,0
BioBio,ESCUELA GUARILIHUE ALTO,5A,0
BioBio,ESCUELA GUARILIHUE ALTO,6A,0
BioBio,ESCUELA GUARILIHUE ALTO,7A,0
BioBio,ESCUELA HELEN KELLER ADAMS,4A,0
BioBio,ESCUELA HELEN KELLER ADAMS,5A,0
BioBio,ESCUELA HELEN KELLER ADAMS,6A,0
BioBio,ESCUELA HELEN KELLER ADAMS,7A,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,4A,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,4B,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,5A,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,5B,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,6A,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,6B,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,7A,0
BioBio,ESCUELA JOSE FRANCISCO PINO MEDINA,7B,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,4A,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,4B,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,5A,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,5B,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,6A,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,6B,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,7A,0
BioBio,ESCUELA MIGUEL JOSE ZANARTU SANTA MARIA,7B,0
BioBio,ESCUELA PARTICULAR LA VICTORIA,4A,0
BioBio,ESCUELA PARTICULAR LA VICTORIA,5A,0
BioBio,ESCUELA PARTICULAR LA VICTORIA,6A,0
BioBio,ESCUELA PARTICULAR LA VICTORIA,7A,0
BioBio,ESCUELA REMIGIO CASTRO ABURTO,4A,0
BioBio,ESCUELA REMIGIO CASTRO ABURTO,5A,0
BioBio,ESCUELA REMIGIO CASTRO ABURTO,6A,0
BioBio,ESCUELA REMIGIO CASTRO ABURTO,7A,0
BioBio,ESCUELA REPUBLICA DEL PERU,4A,0
BioBio,ESCUELA REPUBLICA DEL PERU,5A,0
BioBio,ESCUELA REPUBLICA DEL PERU,5B,0
BioBio,ESCUELA REPUBLICA DEL PERU,6A,0
BioBio,ESCUELA REPUBLICA DEL PERU,6B,0
BioBio,ESCUELA REPUBLICA DEL PERU,7A,0
BioBio,ESCUELA ROSITA RENARD,4A,0
BioBio,ESCUELA ROSITA RENARD,4B,0
BioBio,ESCUELA ROSITA RENARD,5A,0
BioBio,ESCUELA ROSITA RENARD,5B,0
BioBio,ESCUELA ROSITA RENARD,6A,0
BioBio,ESCUELA ROSITA RENARD,6B,0
BioBio,ESCUELA ROSITA RENARD,7A,0
BioBio,ESCUELA ROSITA RENARD,7B,0
BioBio,ESCUELA VICTOR DOMINGO SILVA,4A,0
BioBio,ESCUELA VICTOR DOMINGO SILVA,4B,0
BioBio,ESCUELA VICTOR DOMINGO SILVA,5A,0
BioBio,ESCUELA VICTOR DOMINGO SILVA,5B,0
BioBio,ESCUELA VICTOR DOMINGO SILVA,6A,0
BioBio,ESCUELA VICTOR DOMINGO SILVA,6B,0
BioBio,ESCUELA VICTOR DOMINGO SILVA,7A,0
BioBio,ESCUELA VISTA HERMOSA,4A,0
BioBio,ESCUELA VISTA HERMOSA,5A,0
BioBio,ESCUELA VISTA HERMOSA,6A,0
BioBio,ESCUELA VISTA HERMOSA,7A,0
BioBio,Escuela Almirante Patricio Lynch,4A,0
BioBio,Escuela Almirante Patricio Lynch,4B,0
BioBio,Escuela Almirante Patricio Lynch,5A,0
BioBio,Escuela Almirante Patricio Lynch,6A,0
BioBio,Escuela Almirante Patricio Lynch,7A,0
BioBio,Escuela Almirante Patricio Lynch,7B,0
BioBio,Escuela Alonkura,4A,0
BioBio,Escuela Alonkura,4B,0
BioBio,Escuela Alonkura,5A,0
BioBio,Escuela Alonkura,5B,0
BioBio,Escuela Alonkura,6A,0
BioBio,Escuela Alonkura,6B,0
BioBio,Escuela Alonkura,7A,0
BioBio,Escuela Alonkura,7B,0
BioBio,Escuela Blanca Estela Prat Carvajal,4A,0
BioBio,Escuela Blanca Estela Prat Carvajal,4B,0
BioBio,Escuela Blanca Estela Prat Carvajal,5A,0
BioBio,Escuela Blanca Estela Prat Carvajal,5B,0
BioBio,Escuela Blanca Estela Prat Carvajal,6A,0
BioBio,Escuela Blanca Estela Prat Carvajal,6B,0
BioBio,Escuela Blanca Estela Prat Carvajal,6C,0
BioBio,Escuela Blanca Estela Prat Carvajal,7A,0
BioBio,Escuela Blanca Estela Prat Carvajal,7B,0
BioBio,Escuela Blanca Estela Prat Carvajal,7C,0
BioBio,Escuela Enrique Soro Barriga,4A,0
BioBio,Escuela Enrique Soro Barriga,4B,0
BioBio,Escuela Enrique Soro Barriga,5A,0
BioBio,Escuela Enrique Soro Barriga,5B,0
BioBio,Escuela Enrique Soro Barriga,6A,0
BioBio,Escuela Enrique Soro Barriga,6B,0
BioBio,Escuela Enrique Soro Barriga,7A,0
BioBio,Escuela Isla de Pascua,4A,0
BioBio,Escuela Isla de Pascua,4B,0
BioBio,Escuela Isla de Pascua,5A,0
BioBio,Escuela Isla de Pascua,5B,0
BioBio,Escuela Isla de Pascua,6A,0
BioBio,Escuela Isla de Pascua,6B,0
BioBio,Escuela Isla de Pascua,7A,0
BioBio,Escuela Isla de Pascua,7B,0
BioBio,Escuela Maule,4A,0
BioBio,Escuela Maule,5A,0
BioBio,Escuela Maule,6A,0
BioBio,Escuela Maule,7A,0
BioBio,Escuela Particular Gaspar Cabrales,4A,0
BioBio,Escuela Particular Gaspar Cabrales,4B,0
BioBio,Escuela Particular Gaspar Cabrales,4C,0
BioBio,Escuela Particular Gaspar Cabrales,5A,0
BioBio,Escuela Particular Gaspar Cabrales,5B,0
BioBio,Escuela Particular Gaspar Cabrales,5C,0
BioBio,Escuela Particular Gaspar Cabrales,6A,0
BioBio,Escuela Particular Gaspar Cabrales,6B,0
BioBio,Escuela Particular Gaspar Cabrales,6C,0
BioBio,Escuela Particular Gaspar Cabrales,7A,0
BioBio,Escuela Particular Gaspar Cabrales,7B,0
BioBio,Escuela Particular Gaspar Cabrales,7C,0
BioBio,Escuela Particular Pedro de Ona,4A,0
BioBio,Escuela Particular Pedro de Ona,5A,0
BioBio,Escuela Particular Pedro de Ona,6A,0
BioBio,Escuela Particular Pedro de Ona,7A,0
BioBio,Escuela Rafael Sotomayor Baeza,4A,0
BioBio,Escuela Rafael Sotomayor Baeza,4B,0
BioBio,Escuela Rafael Sotomayor Baeza,4C,0
BioBio,Escuela Rafael Sotomayor Baeza,5A,0
BioBio,Escuela Rafael Sotomayor Baeza,5B,0
BioBio,Escuela Rafael Sotomayor Baeza,5C,0
BioBio,Escuela Rafael Sotomayor Baeza,6A,0
BioBio,Escuela Rafael Sotomayor Baeza,6B,0
BioBio,Escuela Rafael Sotomayor Baeza,6C,0
BioBio,Escuela Rafael Sotomayor Baeza,7A,0
BioBio,Escuela Rafael Sotomayor Baeza,7B,0
BioBio,Escuela Rafael Sotomayor Baeza,7C,0
BioBio,Escuela Toqui Lautaro,4A,0
BioBio,Escuela Toqui Lautaro,5A,0
BioBio,Escuela Toqui Lautaro,5B,0
BioBio,Escuela Toqui Lautaro,6A,0
BioBio,Escuela Toqui Lautaro,6B,0
BioBio,Escuela Toqui Lautaro,7A,0
BioBio,Escuela Toqui Lautaro,7B,0
BioBio,Escuela Villa Independencia,4A,0
BioBio,Escuela Villa Independencia,5A,0
BioBio,Escuela Villa Independencia,6A,0
BioBio,Escuela Villa Independencia,7A,0
BioBio,LICEO BICENTENARIO DE EXCELENCIA TÉCNICO PUENTE ÑUBLE,4A,0
BioBio,LICEO BICENTENARIO DE EXCELENCIA TÉCNICO PUENTE ÑUBLE,5A,0
BioBio,LICEO BICENTENARIO DE EXCELENCIA TÉCNICO PUENTE ÑUBLE,6A,0
BioBio,LICEO BICENTENARIO DE EXCELENCIA TÉCNICO PUENTE ÑUBLE,7A,0
BioBio,LICEO ORLANDO DELGADO ZÚNIGA,4A,0
BioBio,LICEO ORLANDO DELGADO ZÚNIGA,5A,0
BioBio,LICEO ORLANDO DELGADO ZÚNIGA,6A,0
BioBio,LICEO ORLANDO DELGADO ZÚNIGA,7A,0
BioBio,Liceo Rebeca Matte Bello,4A,0
BioBio,Liceo Rebeca Matte Bello,5A,0
BioBio,Liceo Rebeca Matte Bello,6A,0
BioBio,Liceo Rebeca Matte Bello,7A,0
O´Higgins,COLEGIO ESPANA,4A,0
O´Higgins,COLEGIO ESPANA,5A,0
O´Higgins,COLEGIO ESPANA,6A,0
O´Higgins,COLEGIO ESPANA,7A,0
O´Higgins,Colegio María Escobillana Guzmán,4A,0
O´Higgins,Colegio María Escobillana Guzmán,5A,0
O´Higgins,Colegio María Escobillana Guzmán,6A,0
O´Higgins,Colegio María Escobillana Guzmán,7A,0
O´Higgins,Colegio Nuestra Esperanza,4A,0
O´Higgins,Colegio Nuestra Esperanza,5A,0
O´Higgins,Colegio Nuestra Esperanza,6A,0
O´Higgins,Colegio Nuestra Esperanza,7A,0
O´Higgins,ESCUELA BAS. JOSE MIGUEL CARRERA VERDUGO,4A,19
O´Higgins,ESCUELA BAS. JOSE MIGUEL CARRERA VERDUGO,5A,19
O´Higgins,ESCUELA BAS. JOSE MIGUEL CARRERA VERDUGO,6A,21
O´Higgins,ESCUELA BAS. JOSE MIGUEL CARRERA VERDUGO,7A,20
O´Higgins,ESCUELA BAS. VILLA CONVENTO VIEJO,4A,22
O´Higgins,ESCUELA BAS. VILLA CONVENTO VIEJO,5A,27
O´Higgins,ESCUELA BAS. VILLA CONVENTO VIEJO,6A,21
O´Higgins,ESCUELA BAS. VILLA CONVENTO VIEJO,7A,18
O´Higgins,ESCUELA BAS.FERNANDO ARENAS ALMARZA,4A,23
O´Higgins,ESCUELA BAS.FERNANDO ARENAS ALMARZA,5A,17
O´Higgins,ESCUELA BAS.FERNANDO ARENAS ALMARZA,5B,14
O´Higgins,ESCUELA BAS.FERNANDO ARENAS ALMARZA,6A,19
O´Higgins,ESCUELA BAS.FERNANDO ARENAS ALMARZA,6B,12
O´Higgins,ESCUELA BAS.FERNANDO ARENAS ALMARZA,7A,17
O´Higgins,ESCUELA BAS.FERNANDO ARENAS ALMARZA,7B,17
O´Higgins,ESCUELA DIVINO MAESTRO,4A,34
O´Higgins,ESCUELA DIVINO MAESTRO,5A,32
O´Higgins,ESCUELA DIVINO MAESTRO,5B,28
O´Higgins,ESCUELA DIVINO MAESTRO,6A,32
O´Higgins,ESCUELA DIVINO MAESTRO,7A,30
O´Higgins,ESCUELA MUNICIPAL RENE SCHNEIDER CHEREAU,4A,21
O´Higgins,ESCUELA MUNICIPAL RENE SCHNEIDER CHEREAU,5A,35
O´Higgins,ESCUELA MUNICIPAL RENE SCHNEIDER CHEREAU,6A,28
O´Higgins,ESCUELA MUNICIPAL RENE SCHNEIDER CHEREAU,7A,33
O´Higgins,ESCUELA MUNICIPAL VILLA LA COMPANIA,4A,16
O´Higgins,ESCUELA MUNICIPAL VILLA LA COMPANIA,5A,28
O´Higgins,ESCUELA MUNICIPAL VILLA LA COMPANIA,6A,39
O´Higgins,ESCUELA MUNICIPAL VILLA LA COMPANIA,7A,28
O´Higgins,ESCUELA SIXTO MENDEZ PARADA,4A,0
O´Higgins,ESCUELA SIXTO MENDEZ PARADA,5A,0
O´Higgins,ESCUELA SIXTO MENDEZ PARADA,6A,0
O´Higgins,ESCUELA SIXTO MENDEZ PARADA,7A,0
O´Higgins,Escuela Jorge Munoz Silva,4A,0
O´Higgins,Escuela Jorge Munoz Silva,5A,0
O´Higgins,Escuela Jorge Munoz Silva,5B,0
O´Higgins,Escuela Jorge Munoz Silva,6A,0
O´Higgins,Escuela Jorge Munoz Silva,7A,0
O´Higgins,Escuela Jorge Munoz Silva,7B,0
O´Higgins,Escuela Manuel Amat y Juniet,4A,26
O´Higgins,Escuela Manuel Amat y Juniet,4B,24
O´Higgins,Escuela Manuel Amat y Juniet,5A,35
O´Higgins,Escuela Manuel Amat y Juniet,5B,32
O´Higgins,Escuela Manuel Amat y Juniet,6A,32
O´Higgins,Escuela Manuel Amat y Juniet,6B,32
O´Higgins,Escuela Manuel Amat y Juniet,7A,26
O´Higgins,Escuela Manuel Amat y Juniet,7B,28
O´Higgins,Escuela Municipal Nobeles De Chile,4A,0
O´Higgins,Escuela Municipal Nobeles De Chile,5A,0
O´Higgins,Escuela Municipal Nobeles De Chile,6A,0
O´Higgins,Escuela Municipal Nobeles De Chile,7A,0
O´Higgins,Escuela Municipal Virginia Bravo,4A,16
O´Higgins,Escuela Municipal Virginia Bravo,5A,16
O´Higgins,Escuela Municipal Virginia Bravo,6A,16
O´Higgins,Escuela Municipal Virginia Bravo,7A,14
O´Higgins,Escuela Municipal de San Roberto,4A,18
O´Higgins,Escuela Municipal de San Roberto,5A,20
O´Higgins,Escuela Municipal de San Roberto,6A,21
O´Higgins,Escuela Municipal de San Roberto,7A,20
O´Higgins,Escuela Olegario Lazo Baeza,4A,19
O´Higgins,Escuela Olegario Lazo Baeza,4B,21
O´Higgins,Escuela Olegario Lazo Baeza,5A,22
O´Higgins,Escuela Olegario Lazo Baeza,5B,21
O´Higgins,Escuela Olegario Lazo Baeza,6A,20
O´Higgins,Escuela Olegario Lazo Baeza,6B,20
O´Higgins,Escuela Olegario Lazo Baeza,7A,17
O´Higgins,Escuela Olegario Lazo Baeza,7B,17
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,4A,32
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,4B,26
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,5A,31
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,5B,31
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,6A,33
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,6B,25
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,7A,35
O´Higgins,INSTITUTO REGIONAL DE EDUCACION,7B,33
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,4A,0
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,4B,0
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,5A,0
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,5B,0
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,6A,0
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,6B,0
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,7A,0
RM,CENTRO EDUC. PART. MARIA REINA INMACULADA,7B,0
RM,COLEGIO HUILCO ALTO,4A,0
RM,COLEGIO HUILCO ALTO,5A,0
RM,COLEGIO HUILCO ALTO,6A,0
RM,COLEGIO HUILCO ALTO,7A,0
RM,COLEGIO NINO JESUS,4A,0
RM,COLEGIO NINO JESUS,4B,0
RM,COLEGIO NINO JESUS,5A,0
RM,COLEGIO NINO JESUS,5B,0
RM,COLEGIO NINO JESUS,6A,0
RM,COLEGIO NINO JESUS,6B,0
RM,COLEGIO NINO JESUS,7A,0
RM,COLEGIO NINO JESUS,7B,0
RM,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,4A,0
RM,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,4B,0
RM,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,5A,0
RM,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,5B,0
RM,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,6A,0
RM,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,6B,0
RM,ESC. BAS. Y ESP. CENTRO INTEGRAL ALTAIR DE BA,7A,0
RM,ESC. BAS. Y ESP. NUEVA INTEGRAL ALTAZOR,4A,0
RM,ESC. BAS. Y ESP. NUEVA INTEGRAL ALTAZOR,5A,0
RM,ESC. BAS. Y ESP. NUEVA INTEGRAL ALTAZOR,6A,0
RM,ESC. BAS. Y ESP. NUEVA INTEGRAL ALTAZOR,7A,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,4A,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,4B,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,5A,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,5B,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,6A,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,6B,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,7A,0
RM,ESC. BASICA MUNICIPAL PAULA JARAQUEMADA ALQUI,7B,0
RM,ESCUELA BASICA F-N°835 HERMANOS SANCHEZ CERDA,4A,0
RM,ESCUELA BASICA F-N°835 HERMANOS SANCHEZ CERDA,5A,0
RM,ESCUELA BASICA F-N°835 HERMANOS SANCHEZ CERDA,6A,0
RM,ESCUELA BASICA F-N°835 HERMANOS SANCHEZ CERDA,7A,0
RM,ESCUELA INMACULADA CONCEPCION,4A,0
RM,ESCUELA INMACULADA CONCEPCION,4B,0
RM,ESCUELA INMACULADA CONCEPCION,5A,0
RM,ESCUELA INMACULADA CONCEPCION,5B,0
RM,ESCUELA INMACULADA CONCEPCION,6A,0
RM,ESCUELA INMACULADA CONCEPCION,6B,0
RM,ESCUELA INMACULADA CONCEPCION,7A,0
RM,ESCUELA INMACULADA CONCEPCION,7B,0
RM,Escuela Elias Sánchez Ortúzar,4A,0
RM,Escuela Elias Sánchez Ortúzar,5A,0
RM,Escuela Elias Sánchez Ortúzar,6A,0
RM,Escuela Elias Sánchez Ortúzar,7A,0
RM,Escuela Lidia Matte Hurtado,4A,0
RM,Escuela Lidia Matte Hurtado,5A,0
RM,Escuela Lidia Matte Hurtado,6A,0
RM,Escuela Lidia Matte Hurtado,7A,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,4A,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,4B,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,5A,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,5B,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,6A,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,6B,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,7A,0
RM,LICEO MUNICIPAL POETISA GABRIELA MISTRAL,7B,0
